, Title,Artist(s),Genre,Album,Date Released,Length of Track,Language,Country of Origin (artist(s)),Rating,Review,Race of Artist(s) ,Gender of Artist(s)
25,DEJAU',Rauw Alejandro & Playero,Reggaeton & Eurodance & Techno & Miami Bass,SATURNO,"November 11, 2022",3:03,Spanish,Puerto Rico,6.8/10,Type of song that makes u wanna dance. ,Mixed  ,Male & Male
26,Timeless (feat Playboi Carti),The Weeknd & Playboi Carti,Trap,Hurry Up Tomorrow,"September 27, 2024",4:16,English,United States & Canada,6.9/10,Oh this is THAT song. Edit song but that's all Playboi Carti is good for anyways. EVER SINCE I WAS A KID I BEEN LEGIT,Black,Male & Male
27,Desenfocao',Rauw Alejandro,New Wave & Synth-Pop & Funk,VICE VERSA,"June 25, 2021",2:51,Spanish,Puerto Rico,7.5/10,"Catchy chorus, solid track",Mixed,Male
28,Todo De Ti,Rauw Alejandro,Dance Pop & Electropop,VICE VERSA,"May 21, 2021",3:20,Spanish,Puerto Rico,5.3/10,"Don't know what to say. This song is not bad it just did not do it for me, was aggressively ok. ",Mixed,Male
29,Coming Down ,The Weeknd,RnB & Soul,House Of Balloons (Original),"March 21, 2011",4:55,English,Canada,6.35/10,IDK man nothing he does is moving me moving me,Black,Male
30,Confident,Justin Bieber & Chance the Rapper,Pop & Hip Hop & Reggae & RnB,Journals,"December 9, 2013",4:08,English,United States & Canada,8.2/10,Good song,White & Black,Male & Male
31,2:12 AM,Rauw Alejandro & LATIN MAFIA,Rock & Pop,Cosa Nuestra,"November 15, 2024",3:32,Spanish,Puerto Rico & Mexico,5.5/10,Was an alright song,White & Mixed,Male & Male & Male & Male
32,La Old Skul,Rauw Alejandro,Reggaeton,VICE VERSA,"June 25, 2021",3:35,Spanish,Puerto Rico ,6.3/10,"Basic reggaeton song, not that that's a bad thing, just nothing spectacular",Mixed,Male
33,MOJABI GHOST,Tainy & Bad Bunny,Reggaeton & Electropop & New Wave,DATA,"June 29, 2023",3:52,Spanish,Puerto Rico ,8.7/10,Bad Bunny is like one of the few ppl who could make a song this style with this type of instrumental that I wouldn't immediately hate. He brings a nice energy to this song and obviously his voice is nice. ,Mixed,Male & Male
34,Loba,Shakira,Electropop & Dance,She Wolf (Expanded Edition),"October 9, 2009",3:09,Spanish,Colombia,7.3/10,Don't think I'm a big fan of Shakira's voice but the song was enjoyable and I loved the chorus ,Mixed,Female
35,Lola,Jedis & Gote & Nolep ,Latin Trap & Reggaeton,Lola,"March 28, 2021",4:23,Spanish,Chile,6.5/10,This gave that old school reggaeton but I'm not the biggest fan of that unless it's Daddy Yankee or Ivy Queen or Tego Calderon,Mixed,Male & Male & Male & Male
36,EoO,Bad Bunny,Reggaeton,DEBÍ TiRAR Más FOToS,"January 5, 2025",3:25,Spanish,Puerto Rico,8.6/10,I mean cmon lol this song is really good ,Mixed,Male
37,Qué Pasaría,Rauw Alejandro & Bad Bunny,Reggaeton & Latin Trap,Cosa Nuestra,"November 15, 2024",3:11,Spanish,Puerto Rico,8.1/10,This duo compliments each other well,Mixed,Male & Male
38,Dile a El,Rauw Alejandro,Reggaeton & Latin RnB,Afrodisíaco,"November 13, 2020",3:30,Spanish,Puerto Rico ,6.3/10,Didn't move me but was slightly above average ,Mixed,Male
39,Baja Pa' Acá,Rauw Alejandro & Alexis y Fido,Reggaeton,Cosa Nuestra,"November 15, 2024",3:20,Spanish,Puerto Rico ,8.35/10,Early 2010s vibes. I love the instrumental ,White & Mixed,Male & Male & Male
40,DILUVIO,Rauw Alejandro,Reggaeton & Latin Pop,PLAYA SATURNO,"July 7, 2023",3:17,Spanish,Puerto Rico ,8.7/10,Nice chorus W song overall evoked nice memories within ,Mixed,Male
41,Pasaporte,Rauw Alejandro & Mr. Naisgai,Reggaeton & Latin Pop,Cosa Nuestra,"September 26, 2024",4:27,Spanish,Puerto Rico ,5.0/10,Meh. ,Mixed & Black,Male & Male
42,Khé?,Rauw Alejandro & Romeo Santos,Bachata & Reggaeton,Cosa Nuestra,"November 15, 2024",3:26,Spanish,Puerto Rico & Dominican Republic,7.6/10,I love Romeo's voice and the chorus is so ear wormy. Idk if I haven't listened to enough Romeo Santos but this song his voice almost seems like it's gotten smokier with age in a good way. ,Mixed & Black,Male & Male
43,What You Need,The Weeknd,Alternative RnB,House Of Balloons (Original),"January 2, 2011",3:26,English,Canada,5.1/10,"Yeah he just might not be for me cuz this song wasn't even like bad, but it was just so boring to me. ",Black,Male
44,Company ,Justin Bieber,Pop & RnB,Purpose (Deluxe),"March 8, 2016",3:28,English,Canada,6.2/10,This sounds like music you would specifically find in youtube ads. Decent song though.,White,Male 
45,No Pressure,Justin Bieber & Big Sean,RnB & Hip Hop,Purpose (Deluxe),"November 13, 2015",4:47,English,United States & Canada,7.35/10,"This is the first song on this playlist where, even though I may not be fully vibing with it, I can see how someone would vibe with this. I liked Big Sean's voice a lot, vibe was chill. Good Song",White & Black,Male & Male
46,No Sense,Justin Bieber & Travis Scott,RnB & Hip Hop,Purpose (Deluxe),"November 13, 2015",4:35,English,United States & Canada,4.3/10,Nah man that ain't it.,White & Black,Male & Male
47,Despacito - Remix,Luis Fonsi & Daddy Yankee & Justin Bieber,Reggaeton & Latin Pop,VIDA,"April 17, 2017",3:49,Spanish & English,Puerto Rico & Canada,10.0/10,"I mean it's Despacito cmon this song has everything, it's literally perfect.",White & Mixed,Male & Male & Male
48,Deja Vu,Post Malone & Justin Bieber,Hip Hop & RnB,Stoney (Deluxe),"September 9, 2016",3:54,English,United States & Canada,3.2/10,I try not to be one of those ppl that pretends just because someone who made some piece of art turns out to be a horrible person that suddenly makes the art made horrible. But Post Malone on top of being a horrible person is just NOT good man IDC what anyone says.,White,Male & Male
49,All That Matters,Justin Bieber,RnB,Journals,"October 14, 2013",3:11,English,Canada,5.5/10,"Wasn't a bad song, heard it before but it wasn't anything too crazy. ",White,Male
50,Right Here,Justin Bieber & Drake,Pop & RnB,Believe,"February 5, 2013",3:24,English,Canada,6.4/10,Enough to be above average but not spectacular.,White & Mixed & Black,Male & Male
51,Hard 2 Face Reality,Poo Bear & Justin Bieber & Jay Electronica,Hip Hop & RnB,Poo Bear Presents: Bearthday Music,"April 6, 2018",3:17,English,United States & Canada,7.2/10,Imagine if Jay Electronica didn't become an anti-semite because he was dating a Rothschild and they broke up. Horrible guy but the music is solid I guess,White & Black,Male & Male & Male
52,Rock Your Body,Justin Timberlake,Pop & RnB & Funk,Justified,"November 5, 2022",4:27,English,United States,7.8/10,This is just a solid funky pop song,White,Male
